    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   8  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2   9  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  10  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  11  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  12  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.150000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.250000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.350000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.500000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.700000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.900000E-02  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.125000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.175000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.250000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.350000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.450000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.600000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  13  -0.850000E-01  0.600000E+00  0.000000E+00  0.000000E+00
    0.000  01-Oct-1978-00h00 ZProfile_EXSW2  14  -0.500000E-03  0.600000E+00  0.000000E+00  0.000000E+00
